iter	Passed	Remaining
0	9	2880
1	14	2166
2	20	2006
3	28	2130
4	35	2121
5	42	2104
6	49	2079
7	59	2175
8	68	2209
9	79	2306
10	85	2241
11	91	2198
12	98	2181
13	104	2141
14	110	2097
15	116	2064
16	124	2076
17	130	2049
18	136	2019
19	142	1996
20	149	1986
21	157	1989
22	163	1964
23	169	1947
24	177	1954
25	184	1944
26	189	1918
27	195	1899
28	201	1881
29	207	1868
30	214	1859
31	222	1862
32	228	1849
33	234	1836
34	241	1825
35	247	1812
36	253	1802
37	259	1788
38	264	1772
39	270	1759
40	277	1752
41	283	1743
42	290	1737
43	296	1723
44	302	1711
45	308	1704
46	315	1696
47	322	1694
48	329	1687
49	335	1679
50	341	1669
51	348	1660
52	354	1650
53	359	1638
54	365	1628
55	371	1618
56	378	1615
57	384	1605
58	390	1596
59	397	1588
60	403	1580
61	409	1573
62	417	1571
63	425	1567
64	431	1561
65	438	1553
66	445	1548
67	451	1541
68	457	1531
69	464	1524
70	473	1527
71	481	1524
72	487	1515
73	493	1506
74	499	1497
75	505	1490
76	513	1486
77	519	1478
78	526	1471
79	532	1464
80	539	1459
81	546	1453
82	553	1446
83	559	1439
84	566	1431
85	571	1423
86	579	1419
87	586	1413
88	594	1408
89	600	1401
90	608	1396
91	614	1389
92	621	1382
93	628	1377
94	635	1372
95	645	1371
96	652	1366
97	660	1360
98	667	1354
99	675	1350
100	682	1344
101	689	1339
102	696	1333
103	703	1326
104	713	1325
105	720	1318
106	726	1311
107	733	1304
108	741	1299
109	763	1319
110	770	1311
111	777	1305
112	785	1299
113	792	1293
114	799	1285
115	808	1281
116	814	1274
117	823	1270
118	833	1267
119	840	1260
120	847	1253
121	854	1246
122	860	1238
123	869	1233
124	876	1226
125	883	1220
126	890	1213
127	897	1205
128	904	1198
129	912	1193
130	920	1188
131	927	1180
132	937	1177
133	944	1169
134	952	1164
135	960	1158
136	968	1152
137	975	1145
138	983	1138
139	989	1130
140	995	1122
141	1002	1115
142	1009	1108
143	1015	1100
144	1021	1091
145	1029	1086
146	1035	1078
147	1042	1070
148	1047	1062
149	1054	1054
150	1062	1048
151	1069	1041
152	1079	1037
153	1087	1031
154	1096	1025
155	1104	1019
156	1111	1012
157	1118	1004
158	1124	997
159	1133	991
160	1140	984
161	1148	978
162	1155	971
163	1165	966
164	1172	959
165	1180	952
166	1187	945
167	1195	939
168	1203	932
169	1211	926
170	1218	919
171	1228	914
172	1236	907
173	1243	900
174	1250	893
175	1257	886
176	1265	879
177	1273	872
178	1279	865
179	1287	858
180	1296	852
181	1304	845
182	1311	838
183	1320	832
184	1327	825
185	1334	817
186	1340	810
187	1348	803
188	1354	795
189	1361	788
190	1370	782
191	1376	774
192	1383	767
193	1391	760
194	1400	753
195	1406	746
196	1413	738
197	1420	731
198	1429	725
199	1437	718
200	1443	711
201	1452	704
202	1460	697
203	1468	691
204	1476	684
205	1484	677
206	1494	671
207	1502	664
208	1508	656
209	1515	649
210	1522	642
211	1528	634
212	1535	627
213	1541	619
214	1548	612
215	1554	604
216	1560	596
217	1567	589
218	1574	582
219	1581	574
220	1589	568
221	1596	560
222	1602	553
223	1609	546
224	1616	538
225	1623	531
226	1630	524
227	1637	517
228	1643	509
229	1649	502
230	1656	494
231	1663	487
232	1669	480
233	1685	475
234	1691	467
235	1698	460
236	1704	453
237	1711	445
238	1718	438
239	1729	432
240	1734	424
241	1740	417
242	1745	409
243	1753	402
244	1760	395
245	1766	387
246	1773	380
247	1780	373
248	1787	366
249	1794	358
250	1801	351
251	1808	344
252	1814	337
253	1821	329
254	1827	322
255	1833	315
256	1839	307
257	1846	300
258	1853	293
259	1860	286
260	1866	278
261	1873	271
262	1881	264
263	1888	257
264	1899	250
265	1907	243
266	1914	236
267	1920	229
268	1927	222
269	1933	214
270	1939	207
271	1946	200
272	1953	193
273	1959	185
274	1966	178
275	1971	171
276	1978	164
277	1987	157
278	1993	150
279	2000	142
280	2007	135
281	2014	128
282	2021	121
283	2028	114
284	2034	107
285	2041	99
286	2048	92
287	2054	85
288	2060	78
289	2066	71
290	2075	64
291	2082	57
292	2089	49
293	2096	42
294	2102	35
295	2110	28
296	2117	21
297	2123	14
298	2130	7
299	2137	0
